particle,repetition,dist_mm,dist_perc,C0,rpm,time,trans
NC7000,1,117.4781,50,6,300,1.62,80.70339
NC7000,1,117.4781,50,6,300,11.66,81.11958
NC7000,1,117.4781,50,6,300,21.65,80.67502
NC7000,1,117.4781,50,6,300,31.63,81.59447
NC7000,1,117.4781,50,6,300,41.62,81.71851
NC7000,1,117.4781,50,6,300,51.59,79.84419
NC7000,1,117.4781,50,6,300,61.68,79.17655
NC7000,1,117.4781,50,6,300,71.59,80.22206
NC7000,1,117.4781,50,6,300,81.54,81.55067
NC7000,1,117.4781,50,6,300,91.54,80.42671
NC7000,1,117.4781,50,6,300,101.53,80.70954
NC7000,1,117.4781,50,6,300,111.81,79.96674
NC7000,1,117.4781,50,6,300,121.7,82.54505
NC7000,1,117.4781,50,6,300,131.75,82.16501
NC7000,1,117.4781,50,6,300,141.78,80.98574
NC7000,1,117.4781,50,6,300,151.78,81.24254
NC7000,1,117.4781,50,6,300,161.7,82.47548
NC7000,1,117.4781,50,6,300,171.72,80.76135
NC7000,1,117.4781,50,6,300,181.7,80.91732
NC7000,1,117.4781,50,6,300,191.69,82.57314
NC7000,1,117.4781,50,6,300,201.62,82.39293
NC7000,1,117.4781,50,6,300,211.69,82.07247
NC7000,1,117.4781,50,6,300,221.63,78.96078
NC7000,1,117.4781,50,6,300,231.62,82.10263
NC7000,1,117.4781,50,6,300,241.56,82.08123
NC7000,1,117.4781,50,6,300,251.55,82.26234
NC7000,1,117.4781,50,6,300,261.54,83.03078
NC7000,1,117.4781,50,6,300,271.72,82.06576
NC7000,1,117.4781,50,6,300,281.74,83.04484
NC7000,1,117.4781,50,6,300,291.78,82.3913
NC7000,1,117.4781,50,6,300,301.78,82.29806
NC7000,1,117.4781,50,6,300,311.75,83.47083
NC7000,1,117.4781,50,6,300,321.71,82.36664
NC7000,1,117.4781,50,6,300,331.68,83.73724
NC7000,1,117.4781,50,6,300,341.76,81.97793
NC7000,1,117.4781,50,6,300,351.74,81.20029
NC7000,1,117.4781,50,6,300,361.65,81.9574
NC7000,1,117.4781,50,6,300,371.66,82.21069
NC7000,1,117.4781,50,6,300,381.69,81.72971
NC7000,1,117.4781,50,6,300,391.63,83.37168
NC7000,1,117.4781,50,6,300,401.7,82.54736
NC7000,1,117.4781,50,6,300,411.63,82.73573
NC7000,1,117.4781,50,6,300,421.63,83.58921
NC7000,1,117.4781,50,6,300,431.63,81.93875
NC7000,1,117.4781,50,6,300,441.85,83.03873
NC7000,1,117.4781,50,6,300,451.73,84.48878
NC7000,1,117.4781,50,6,300,461.77,84.08943
NC7000,1,117.4781,50,6,300,471.7,83.22617
NC7000,1,117.4781,50,6,300,481.67,83.07183
NC7000,1,117.4781,50,6,300,491.74,82.31145
NC7000,1,117.4781,50,6,300,501.71,83.05028
NC7000,1,117.4781,50,6,300,511.65,83.17379
NC7000,1,117.4781,50,6,300,521.68,83.21638
NC7000,1,117.4781,50,6,300,531.67,82.87916
NC7000,1,117.4781,50,6,300,541.64,82.40901
NC7000,1,117.4781,50,6,300,551.63,82.87572
NC7000,1,117.4781,50,6,300,561.65,83.88884
NC7000,1,117.4781,50,6,300,571.57,83.44463
NC7000,1,117.4781,50,6,300,581.85,83.57661
NC7000,1,117.4781,50,6,300,591.79,83.78223
NC7000,1,117.4781,50,6,300,601.73,83.42622
NC7000,1,117.4781,50,6,300,611.83,82.78864
NC7000,1,117.4781,50,6,300,621.72,83.31622
NC7000,1,117.4781,50,6,300,631.75,83.6602
NC7000,1,117.4781,50,6,300,641.77,83.94344
NC7000,1,117.4781,50,6,300,651.69,84.63002
NC7000,1,117.4781,50,6,300,661.76,84.23228
NC7000,1,117.4781,50,6,300,671.74,82.78942
NC7000,1,117.4781,50,6,300,681.63,84.67903
NC7000,1,117.4781,50,6,300,691.67,84.98234
NC7000,1,117.4781,50,6,300,701.6,83.99708
NC7000,1,117.4781,50,6,300,711.68,85.7515
NC7000,1,117.4781,50,6,300,721.67,85.43586
NC7000,1,117.4781,50,6,300,731.62,86.02841
NC7000,1,117.4781,50,6,300,741.81,85.28929
NC7000,1,117.4781,50,6,300,751.82,85.17103
NC7000,1,117.4781,50,6,300,761.82,85.26778
NC7000,1,117.4781,50,6,300,771.77,85.17049
NC7000,1,117.4781,50,6,300,781.79,85.10078
NC7000,1,117.4781,50,6,300,791.73,85.01042
NC7000,1,117.4781,50,6,300,801.69,85.45377
NC7000,1,117.4781,50,6,300,811.66,85.65595
NC7000,1,117.4781,50,6,300,821.69,85.33038
NC7000,1,117.4781,50,6,300,831.69,84.76723
NC7000,1,117.4781,50,6,300,841.62,84.97284
NC7000,1,117.4781,50,6,300,851.58,85.84211
NC7000,1,117.4781,50,6,300,861.65,85.3171
NC7000,1,117.4781,50,6,300,871.85,85.48746
NC7000,1,117.4781,50,6,300,881.75,86.53129
NC7000,1,117.4781,50,6,300,891.76,85.70013
