particle,repetition,dist_mm,dist_perc,C0,time,rpm,trans
NC7000,1,117.4781,50,6,1.62,300,80.70339
NC7000,1,117.4781,50,6,11.66,300,81.11958
NC7000,1,117.4781,50,6,21.65,300,80.67502
NC7000,1,117.4781,50,6,31.63,300,81.59447
NC7000,1,117.4781,50,6,41.62,300,81.71851
NC7000,1,117.4781,50,6,51.59,300,79.84419
NC7000,1,117.4781,50,6,61.68,300,79.17655
NC7000,1,117.4781,50,6,71.59,300,80.22206
NC7000,1,117.4781,50,6,81.54,300,81.55067
NC7000,1,117.4781,50,6,91.54,300,80.42671
NC7000,1,117.4781,50,6,101.53,300,80.70954
NC7000,1,117.4781,50,6,111.81,300,79.96674
NC7000,1,117.4781,50,6,121.7,300,82.54505
NC7000,1,117.4781,50,6,131.75,300,82.16501
NC7000,1,117.4781,50,6,141.78,300,80.98574
NC7000,1,117.4781,50,6,151.78,300,81.24254
NC7000,1,117.4781,50,6,161.7,300,82.47548
NC7000,1,117.4781,50,6,171.72,300,80.76135
NC7000,1,117.4781,50,6,181.7,300,80.91732
NC7000,1,117.4781,50,6,191.69,300,82.57314
NC7000,1,117.4781,50,6,201.62,300,82.39293
NC7000,1,117.4781,50,6,211.69,300,82.07247
NC7000,1,117.4781,50,6,221.63,300,78.96078
NC7000,1,117.4781,50,6,231.62,300,82.10263
NC7000,1,117.4781,50,6,241.56,300,82.08123
NC7000,1,117.4781,50,6,251.55,300,82.26234
NC7000,1,117.4781,50,6,261.54,300,83.03078
NC7000,1,117.4781,50,6,271.72,300,82.06576
NC7000,1,117.4781,50,6,281.74,300,83.04484
NC7000,1,117.4781,50,6,291.78,300,82.3913
NC7000,1,117.4781,50,6,301.78,300,82.29806
NC7000,1,117.4781,50,6,311.75,300,83.47083
NC7000,1,117.4781,50,6,321.71,300,82.36664
NC7000,1,117.4781,50,6,331.68,300,83.73724
NC7000,1,117.4781,50,6,341.76,300,81.97793
NC7000,1,117.4781,50,6,351.74,300,81.20029
NC7000,1,117.4781,50,6,361.65,300,81.9574
NC7000,1,117.4781,50,6,371.66,300,82.21069
NC7000,1,117.4781,50,6,381.69,300,81.72971
NC7000,1,117.4781,50,6,391.63,300,83.37168
NC7000,1,117.4781,50,6,401.7,300,82.54736
NC7000,1,117.4781,50,6,411.63,300,82.73573
NC7000,1,117.4781,50,6,421.63,300,83.58921
NC7000,1,117.4781,50,6,431.63,300,81.93875
NC7000,1,117.4781,50,6,441.85,300,83.03873
NC7000,1,117.4781,50,6,451.73,300,84.48878
NC7000,1,117.4781,50,6,461.77,300,84.08943
NC7000,1,117.4781,50,6,471.7,300,83.22617
NC7000,1,117.4781,50,6,481.67,300,83.07183
NC7000,1,117.4781,50,6,491.74,300,82.31145
NC7000,1,117.4781,50,6,501.71,300,83.05028
NC7000,1,117.4781,50,6,511.65,300,83.17379
NC7000,1,117.4781,50,6,521.68,300,83.21638
NC7000,1,117.4781,50,6,531.67,300,82.87916
NC7000,1,117.4781,50,6,541.64,300,82.40901
NC7000,1,117.4781,50,6,551.63,300,82.87572
NC7000,1,117.4781,50,6,561.65,300,83.88884
NC7000,1,117.4781,50,6,571.57,300,83.44463
NC7000,1,117.4781,50,6,581.85,300,83.57661
NC7000,1,117.4781,50,6,591.79,300,83.78223
NC7000,1,117.4781,50,6,601.73,300,83.42622
NC7000,1,117.4781,50,6,611.83,300,82.78864
NC7000,1,117.4781,50,6,621.72,300,83.31622
NC7000,1,117.4781,50,6,631.75,300,83.6602
NC7000,1,117.4781,50,6,641.77,300,83.94344
NC7000,1,117.4781,50,6,651.69,300,84.63002
NC7000,1,117.4781,50,6,661.76,300,84.23228
NC7000,1,117.4781,50,6,671.74,300,82.78942
NC7000,1,117.4781,50,6,681.63,300,84.67903
NC7000,1,117.4781,50,6,691.67,300,84.98234
NC7000,1,117.4781,50,6,701.6,300,83.99708
NC7000,1,117.4781,50,6,711.68,300,85.7515
NC7000,1,117.4781,50,6,721.67,300,85.43586
NC7000,1,117.4781,50,6,731.62,300,86.02841
NC7000,1,117.4781,50,6,741.81,300,85.28929
NC7000,1,117.4781,50,6,751.82,300,85.17103
NC7000,1,117.4781,50,6,761.82,300,85.26778
NC7000,1,117.4781,50,6,771.77,300,85.17049
NC7000,1,117.4781,50,6,781.79,300,85.10078
NC7000,1,117.4781,50,6,791.73,300,85.01042
NC7000,1,117.4781,50,6,801.69,300,85.45377
NC7000,1,117.4781,50,6,811.66,300,85.65595
NC7000,1,117.4781,50,6,821.69,300,85.33038
NC7000,1,117.4781,50,6,831.69,300,84.76723
NC7000,1,117.4781,50,6,841.62,300,84.97284
NC7000,1,117.4781,50,6,851.58,300,85.84211
NC7000,1,117.4781,50,6,861.65,300,85.3171
NC7000,1,117.4781,50,6,871.85,300,85.48746
NC7000,1,117.4781,50,6,881.75,300,86.53129
NC7000,1,117.4781,50,6,891.76,300,85.70013
NC7000,1,117.4781,50,6,901.73,300,86.10995
NC7000,1,117.4781,50,6,911.71,300,86.09228
NC7000,1,117.4781,50,6,921.68,300,85.37077
NC7000,1,117.4781,50,6,931.7,300,85.77949
NC7000,1,117.4781,50,6,941.79,300,85.84338
NC7000,1,117.4781,50,6,951.7,300,85.65124
NC7000,1,117.4781,50,6,961.7,300,84.80538
NC7000,1,117.4781,50,6,971.62,300,85.05292
NC7000,1,117.4781,50,6,981.72,300,84.94983
NC7000,1,117.4781,50,6,991.69,300,85.92046
NC7000,1,117.4781,50,6,1001.6,300,86.18955
NC7000,1,117.4781,50,6,1011.84,300,85.96976
NC7000,1,117.4781,50,6,1021.76,300,85.52706
NC7000,1,117.4781,50,6,1031.84,300,85.4022
NC7000,1,117.4781,50,6,1041.83,300,86.34648
NC7000,1,117.4781,50,6,1051.78,300,86.53915
NC7000,1,117.4781,50,6,1061.76,300,86.23203
NC7000,1,117.4781,50,6,1071.8,300,86.00312
NC7000,1,117.4781,50,6,1081.78,300,86.18737
NC7000,1,117.4781,50,6,1091.76,300,85.76527
NC7000,1,117.4781,50,6,1101.73,300,86.16128
NC7000,1,117.4781,50,6,1111.7,300,85.98186
NC7000,1,117.4781,50,6,1121.73,300,86.69305
NC7000,1,117.4781,50,6,1131.67,300,85.9843
NC7000,1,117.4781,50,6,1141.61,300,85.66679
NC7000,1,117.4781,50,6,1151.64,300,86.70274
NC7000,1,117.4781,50,6,1161.85,300,86.23733
NC7000,1,117.4781,50,6,1171.81,300,86.28238
NC7000,1,117.4781,50,6,1181.75,300,85.72523
NC7000,1,117.4781,50,6,1191.82,300,86.36759
NC7000,1,117.4781,50,6,1201.85,300,85.70911
NC7000,1,117.4781,50,6,1211.8,300,85.57273
NC7000,1,117.4781,50,6,1221.73,300,84.3262
NC7000,1,117.4781,50,6,1231.72,300,85.93691
NC7000,1,117.4781,50,6,1241.82,300,85.56314
NC7000,1,117.4781,50,6,1251.79,300,85.71281
NC7000,1,117.4781,50,6,1261.69,300,85.44249
NC7000,1,117.4781,50,6,1271.74,300,86.59
NC7000,1,117.4781,50,6,1281.77,300,86.02651
NC7000,1,117.4781,50,6,1291.69,300,86.58405
NC7000,1,117.4781,50,6,1301.67,300,86.62023
NC7000,1,117.4781,50,6,1311.76,300,86.99383
NC7000,1,117.4781,50,6,1321.71,300,87.00912
NC7000,1,117.4781,50,6,1331.67,300,87.69192
NC7000,1,117.4781,50,6,1341.82,300,88.64067
NC7000,1,117.4781,50,6,1351.8,300,88.90517
