conc (mg/l)	time	rpm	trans
6	1.62	300	80.70339
6	11.66	300	81.11958
6	21.65	300	80.67502
6	31.63	300	81.59447
6	41.62	300	81.71851
6	51.59	300	79.84419
6	61.68	300	79.17655
6	71.59	300	80.22206
6	81.54	300	81.55067
6	91.54	300	80.42671
6	101.53	300	80.70954
6	111.81	300	79.96674
6	121.7	300	82.54505
6	131.75	300	82.16501
6	141.78	300	80.98574
6	151.78	300	81.24254
6	161.7	300	82.47548
6	171.72	300	80.76135
6	181.7	300	80.91732
6	191.69	300	82.57314
6	201.62	300	82.39293
6	211.69	300	82.07247
6	221.63	300	78.96078
6	231.62	300	82.10263
6	241.56	300	82.08123
6	251.55	300	82.26234
6	261.54	300	83.03078
6	271.72	300	82.06576
6	281.74	300	83.04484
6	291.78	300	82.3913
6	301.78	300	82.29806
6	311.75	300	83.47083
6	321.71	300	82.36664
6	331.68	300	83.73724
6	341.76	300	81.97793
6	351.74	300	81.20029
6	361.65	300	81.9574
6	371.66	300	82.21069
6	381.69	300	81.72971
6	391.63	300	83.37168
6	401.7	300	82.54736
6	411.63	300	82.73573
6	421.63	300	83.58921
6	431.63	300	81.93875
6	441.85	300	83.03873
6	451.73	300	84.48878
6	461.77	300	84.08943
6	471.7	300	83.22617
6	481.67	300	83.07183
6	491.74	300	82.31145
6	501.71	300	83.05028
6	511.65	300	83.17379
6	521.68	300	83.21638
6	531.67	300	82.87916
6	541.64	300	82.40901
6	551.63	300	82.87572
6	561.65	300	83.88884
6	571.57	300	83.44463
6	581.85	300	83.57661
6	591.79	300	83.78223
6	601.73	300	83.42622
6	611.83	300	82.78864
6	621.72	300	83.31622
6	631.75	300	83.6602
6	641.77	300	83.94344
6	651.69	300	84.63002
6	661.76	300	84.23228
6	671.74	300	82.78942
6	681.63	300	84.67903
6	691.67	300	84.98234
6	701.6	300	83.99708
6	711.68	300	85.7515
6	721.67	300	85.43586
6	731.62	300	86.02841
6	741.81	300	85.28929
6	751.82	300	85.17103
6	761.82	300	85.26778
6	771.77	300	85.17049
6	781.79	300	85.10078
6	791.73	300	85.01042
6	801.69	300	85.45377
6	811.66	300	85.65595
6	821.69	300	85.33038
6	831.69	300	84.76723
6	841.62	300	84.97284
6	851.58	300	85.84211
6	861.65	300	85.3171
6	871.85	300	85.48746
6	881.75	300	86.53129
6	891.76	300	85.70013
6	901.73	300	86.10995
6	911.71	300	86.09228
6	921.68	300	85.37077
6	931.7	300	85.77949
6	941.79	300	85.84338
6	951.7	300	85.65124
6	961.7	300	84.80538
6	971.62	300	85.05292
6	981.72	300	84.94983
6	991.69	300	85.92046
6	1001.6	300	86.18955
6	1011.84	300	85.96976
6	1021.76	300	85.52706
6	1031.84	300	85.4022
6	1041.83	300	86.34648
6	1051.78	300	86.53915
6	1061.76	300	86.23203
6	1071.8	300	86.00312
6	1081.78	300	86.18737
6	1091.76	300	85.76527
6	1101.73	300	86.16128
6	1111.7	300	85.98186
6	1121.73	300	86.69305
6	1131.67	300	85.9843
6	1141.61	300	85.66679
6	1151.64	300	86.70274
6	1161.85	300	86.23733
6	1171.81	300	86.28238
6	1181.75	300	85.72523
6	1191.82	300	86.36759
6	1201.85	300	85.70911
6	1211.8	300	85.57273
6	1221.73	300	84.3262
6	1231.72	300	85.93691
6	1241.82	300	85.56314
6	1251.79	300	85.71281
6	1261.69	300	85.44249
6	1271.74	300	86.59
6	1281.77	300	86.02651
6	1291.69	300	86.58405
6	1301.67	300	86.62023
6	1311.76	300	86.99383
6	1321.71	300	87.00912
6	1331.67	300	87.69192
6	1341.82	300	88.64067
6	1351.8	300	88.90517
6	1361.9	300	88.90661
6	1371.83	300	89.08035
6	1381.77	300	89.32546
6	1391.81	300	89.13278
6	1401.76	300	89.02022
6	1411.73	300	88.55953
6	1421.76	300	88.16139
6	1431.77	300	87.94551
6	1441.79	300	88.1062
6	1451.67	300	88.36326
6	1461.77	300	88.1146
6	1471.74	300	87.92564
6	1481.71	300	88.11309
6	1491.62	300	88.33479
6	1501.76	300	88.16469
6	1511.64	300	88.20618
6	1521.8	300	87.90394
6	1531.86	300	87.89776
6	1541.9	300	88.18135
6	1551.79	300	88.30761
6	1561.79	300	88.54485
6	1571.84	300	88.79767
6	1581.87	300	89.19707
6	1591.83	300	89.50041
6	1601.73	300	89.49911
6	1611.84	300	89.65392
6	1621.83	300	89.40002
6	1631.76	300	89.56968
6	1641.72	300	88.89008
6	1651.81	300	88.84642
6	1661.78	300	89.00788
6	1671.7	300	88.53474
6	1681.69	300	88.57511
6	1691.78	300	88.62814
6	1701.72	300	88.66471
6	1711.66	300	88.80034
6	1721.67	300	88.89223
6	1731.65	300	88.82919
6	1741.93	300	88.73318
6	1751.87	300	88.10088
6	1761.93	300	89.08144
6	1771.86	300	88.60892
6	1781.84	300	88.40781
6	1791.79	300	88.57446
6	1801.85	300	88.82032
6	1811.75	300	88.71634
6	1821.79	300	88.71307
6	1831.76	300	88.2579
6	1841.74	300	88.3472
6	1851.71	300	88.11611
6	1861.71	300	88.13593
6	1871.71	300	88.29155
6	1881.7	300	87.9903
6	1891.79	300	88.18674
6	1901.66	300	88.06499
6	1911.71	300	88.52589
6	1921.9	300	89.06266
6	1931.91	300	89.00857
6	1941.82	300	88.93268
6	1951.8	300	88.83669
6	1961.85	300	89.01975
6	1971.79	300	88.90426
6	1981.76	300	88.93066
6	1991.85	300	89.127
6	2001.75	300	88.96102
6	1.62	600	77.38136
6	11.66	600	77.46858
6	21.65	600	79.28037
6	31.63	600	79.54152
6	41.62	600	81.16118
6	51.59	600	80.73089
6	61.68	600	82.82584
6	71.59	600	81.78448
6	81.54	600	80.82185
6	91.54	600	82.73566
6	101.53	600	82.67266
6	111.81	600	82.34145
6	121.7	600	80.91933
6	131.75	600	82.2683
6	141.78	600	83.10643
6	151.78	600	80.94828
6	161.7	600	82.65189
6	171.72	600	82.6679
6	181.7	600	82.55856
6	191.69	600	82.99374
6	201.62	600	82.83485
6	211.69	600	82.67907
6	221.63	600	83.70382
6	231.62	600	83.5162
6	241.56	600	83.86071
6	251.55	600	82.62836
6	261.54	600	83.05944
6	271.72	600	82.64693
6	281.74	600	82.84245
6	291.78	600	81.64156
6	301.78	600	83.27444
6	311.75	600	82.95743
6	321.71	600	83.88667
6	331.68	600	83.98307
6	341.76	600	84.5315
6	351.74	600	84.7466
6	361.65	600	85.01931
6	371.66	600	85.26489
6	381.69	600	84.77596
6	391.63	600	85.48985
6	401.7	600	85.26243
6	411.63	600	85.20484
6	421.63	600	85.23547
6	431.63	600	85.106
6	441.85	600	85.68745
6	451.73	600	86.06616
6	461.77	600	86.29136
6	471.7	600	86.8725
6	481.67	600	86.87148
6	491.74	600	86.4829
6	501.71	600	86.87253
6	511.65	600	86.58677
6	521.68	600	86.71224
6	531.67	600	86.92574
6	541.64	600	86.58226
6	551.63	600	86.88365
6	561.65	600	86.85465
6	571.57	600	87.06221
6	581.85	600	87.31977
6	591.79	600	87.04732
6	601.73	600	86.58759
6	611.83	600	86.98488
6	621.72	600	86.74963
6	631.75	600	86.71201
6	641.77	600	87.07381
6	651.69	600	86.50436
6	661.76	600	87.45139
6	671.74	600	87.25563
6	681.63	600	87.129
6	691.67	600	87.60909
6	701.6	600	87.95123
6	711.68	600	87.30385
6	721.67	600	87.23347
6	731.62	600	87.67206
6	741.81	600	87.66376
6	751.82	600	87.53922
6	761.82	600	87.74277
6	771.77	600	87.7823
6	781.79	600	87.73426
6	791.73	600	87.94093
6	801.69	600	88.12821
6	811.66	600	88.32197
6	821.69	600	88.17049
6	831.69	600	87.34846
6	841.62	600	87.30244
6	851.58	600	87.06158
6	861.65	600	87.49288
6	871.85	600	87.15999
6	881.75	600	87.35264
6	891.76	600	87.10135
6	901.73	600	87.59365
6	911.71	600	87.16903
6	921.68	600	87.93995
6	931.7	600	87.52691
6	941.79	600	87.48283
6	951.7	600	87.60469
6	961.7	600	88.17709
6	971.62	600	87.96234
6	981.72	600	87.57265
6	991.69	600	86.8726
6	1001.6	600	87.63626
6	1011.84	600	87.27066
6	1021.76	600	87.20399
6	1031.84	600	87.0508
6	1041.83	600	86.87879
6	1051.78	600	87.02178
6	1061.76	600	88.03196
6	1071.8	600	87.42629
6	1081.78	600	87.58411
6	1091.76	600	87.55016
6	1101.73	600	88.18923
6	1111.7	600	88.19195
6	1121.73	600	88.78769
6	1131.67	600	88.82901
6	1141.61	600	88.50924
6	1151.64	600	88.24271
6	1161.85	600	87.97831
6	1171.81	600	88.09579
6	1181.75	600	87.83813
6	1191.82	600	87.8803
6	1201.85	600	88.06545
6	1211.8	600	87.88972
6	1221.73	600	87.94035
6	1231.72	600	87.8677
6	1241.82	600	87.77335
6	1251.79	600	88.2895
6	1261.69	600	88.39989
6	1271.74	600	88.87682
6	1281.77	600	88.60506
6	1291.69	600	88.74324
6	1301.67	600	88.54863
6	1311.76	600	88.46711
6	1321.71	600	88.79704
6	1331.67	600	88.5648
6	1341.82	600	88.47234
6	1351.8	600	88.83522
6	1361.9	600	88.2842
6	1371.83	600	88.3007
6	1381.77	600	88.63831
6	1391.81	600	88.03699
6	1401.76	600	88.38317
6	1411.73	600	88.6933
6	1421.76	600	88.4095
6	1431.77	600	88.48402
6	1441.79	600	88.62373
6	1451.67	600	88.61858
6	1461.77	600	88.75079
6	1471.74	600	88.56297
6	1481.71	600	88.61282
6	1491.62	600	88.37451
6	1501.76	600	88.80756
6	1511.64	600	88.59812
6	1521.8	600	88.45028
6	1531.86	600	88.48902
6	1541.9	600	88.90546
6	1551.79	600	88.47925
6	1561.79	600	88.49114
6	1571.84	600	88.28894
6	1581.87	600	88.29662
6	1591.83	600	88.54942
6	1601.73	600	88.27725
6	1611.84	600	88.54003
6	1621.83	600	88.43112
6	1631.76	600	88.5887
6	1641.72	600	88.65744
6	1651.81	600	88.43351
6	1661.78	600	88.50522
6	1671.7	600	88.7616
6	1681.69	600	88.73849
6	1691.78	600	88.98704
6	1701.72	600	88.78802
6	1711.66	600	88.97231
6	1721.67	600	88.45093
6	1731.65	600	88.42915
6	1741.93	600	88.20712
6	1751.87	600	88.50099
6	1761.93	600	88.0956
6	1771.86	600	88.59478
6	1781.84	600	88.44337
6	1791.79	600	88.64546
6	1801.85	600	88.37963
6	1811.75	600	88.74731
6	1821.79	600	89.05621
6	1831.76	600	88.31022
6	1841.74	600	88.3456
6	1851.71	600	88.26776
6	1861.71	600	88.42558
6	1871.71	600	88.64976
