conc (mg/l)	time	rpm	trans
5	0.44	900	86.80166
5	9.83	900	85.52298
5	19.84	900	86.32803
5	29.84	900	86.1552
5	39.83	900	87.06913
5	49.84	900	86.81967
5	59.83	900	86.58911
5	69.84	900	87.06927
5	79.84	900	87.10229
5	89.83	900	87.16473
5	99.84	900	87.31514
5	109.84	900	87.04617
5	119.83	900	87.74
5	129.84	900	88.43471
5	139.84	900	88.71604
5	149.84	900	88.66488
5	159.84	900	89.23823
5	169.84	900	89.54034
5	179.84	900	90.11068
5	189.84	900	90.00642
5	199.84	900	89.90849
5	209.84	900	90.60627
5	219.84	900	90.51304
5	229.84	900	90.70967
5	239.84	900	90.80086
5	249.84	900	91.00208
5	259.85	900	90.63651
5	269.85	900	90.25761
5	279.85	900	90.70107
5	289.85	900	90.4105
5	299.84	900	90.52631
5	309.84	900	90.29397
5	319.85	900	90.5425
5	329.84	900	90.5738
5	339.85	900	90.54425
5	349.85	900	90.36006
5	359.84	900	90.23198
5	369.86	900	90.44795
5	379.87	900	90.59692
5	389.86	900	90.60201
5	399.87	900	90.565
5	409.87	900	90.80201
5	419.86	900	90.92545
5	429.87	900	91.00006
5	439.87	900	90.94051
5	449.86	900	91.08138
5	459.87	900	90.95313
5	469.87	900	90.84988
5	479.87	900	91.06171
5	489.87	900	91.05566
5	499.87	900	91.06438
5	509.86	900	91.22184
5	519.87	900	91.32933
5	529.87	900	91.30954
5	539.87	900	91.4758
5	549.87	900	91.09197
5	559.87	900	90.94407
5	569.87	900	90.86306
5	579.87	900	91.22426
5	589.87	900	91.39626
5	599.87	900	91.38195
5	609.87	900	91.40748
5	619.87	900	91.15166
5	629.87	900	91.25274
5	639.87	900	91.68297
5	649.87	900	91.69486
5	659.87	900	91.49223
5	669.87	900	91.40616
5	679.87	900	91.61538
5	689.88	900	91.55238
5	699.88	900	91.67133
5	709.87	900	91.80392
5	719.88	900	91.63563
5	729.88	900	91.50072
5	739.87	900	91.57999
5	749.88	900	91.47744
5	759.88	900	91.44398
5	769.87	900	91.42697
5	779.89	900	91.7997
5	789.89	900	91.66154
5	799.89	900	91.67131
5	809.9	900	91.6858
5	819.9	900	91.64923
5	829.89	900	91.96358
5	839.9	900	91.7629
5	849.9	900	91.61929
5	859.89	900	91.60945
5	869.89	900	91.48341
5	879.9	900	91.72268
5	889.89	900	91.71001
5	899.9	900	91.59553
5	909.9	900	91.43699
5	919.89	900	91.57872
5	929.9	900	91.81055
5	939.9	900	91.76429
5	949.89	900	91.83891
5	959.9	900	91.70915
5	969.9	900	91.72024
5	979.9	900	91.68625
