conc (mg/l)	time	rpm	trans
6	0.58	300	51.26941
6	4.89	300	50.02052
6	9.88	300	49.79797
6	14.89	300	49.67549
6	19.88	300	49.98901
6	24.89	300	49.88216
6	29.9	300	49.59838
6	34.89	300	49.72586
6	39.9	300	50.25999
6	44.89	300	50.32492
6	49.9	300	50.34755
6	54.89	300	50.13221
6	59.9	300	49.38832
6	64.89	300	49.3763
6	69.9	300	49.82437
6	74.89	300	50.00016
6	79.9	300	49.78836
6	84.89	300	49.71486
6	89.9	300	49.90648
6	94.89	300	50.54863
6	99.9	300	50.40595
6	104.89	300	51.10929
6	109.9	300	49.6726
6	114.89	300	50.09315
6	119.9	300	49.93382
6	124.89	300	50.79006
6	129.9	300	50.05327
6	134.91	300	50.16635
6	139.9	300	50.40498
6	144.91	300	50.84251
6	149.9	300	50.33876
6	154.91	300	50.75343
6	159.9	300	50.27083
6	164.91	300	50.73336
6	169.9	300	50.21003
6	174.91	300	50.0807
6	179.9	300	49.49861
6	184.91	300	50.45129
6	189.9	300	50.2628
6	194.91	300	50.42664
6	199.9	300	50.65762
6	204.91	300	50.4114
6	209.9	300	50.22989
6	214.91	300	50.07206
6	219.9	300	50.06401
6	224.91	300	50.04649
6	229.9	300	50.65098
6	234.91	300	50.44778
6	239.9	300	51.34768
6	244.91	300	50.77119
6	249.9	300	50.14921
6	254.91	300	50.49905
6	259.9	300	50.05831
6	264.91	300	50.48574
6	269.9	300	49.9849
6	274.91	300	50.40198
6	279.9	300	50.66303
6	284.91	300	50.19837
6	289.9	300	50.21854
6	294.91	300	50.81905
6	299.9	300	51.03861
6	304.91	300	50.83918
6	309.9	300	50.29577
6	314.91	300	50.73334
6	319.9	300	49.99129
6	324.91	300	50.15208
6	329.9	300	50.43484
6	334.91	300	50.11987
6	339.92	300	49.90119
6	344.91	300	50.08371
6	349.92	300	49.7164
6	354.91	300	50.52027
6	359.92	300	49.86867
6	364.91	300	49.44267
6	369.92	300	49.75154
6	374.91	300	50.41457
6	379.92	300	50.63052
6	384.91	300	50.34642
6	389.92	300	50.43509
6	394.91	300	50.14163
6	399.92	300	50.9596
6	404.91	300	51.34934
6	409.92	300	50.5221
6	414.92	300	50.54771
6	419.92	300	51.05728
6	424.92	300	51.23479
6	429.92	300	50.42055
6	434.92	300	50.81359
6	439.92	300	50.576
6	444.92	300	50.5617
6	449.92	300	50.22199
6	454.92	300	50.02788
6	459.92	300	50.02869
6	464.92	300	50.16931
6	469.92	300	50.05463
6	474.92	300	49.38888
6	479.93	300	49.79775
6	484.92	300	50.23764
6	489.93	300	50.10527
6	494.92	300	50.02632
