conc (mg/l)	time	rpm	trans
6	2.21	300	50.62878
6	6.11	300	49.90019
6	10.11	300	49.84674
6	15.09	300	48.60967
6	20.11	300	48.99191
6	25.1	300	49.28009
6	30.09	300	49.15036
6	35.1	300	49.14585
6	40.07	300	49.6944
6	45.09	300	49.8279
6	50.07	300	49.7425
6	55.07	300	49.41815
6	60.08	300	49.89349
6	65.05	300	49.458
6	70.05	300	49.53823
6	75.06	300	49.104
6	80.04	300	49.65302
6	85.04	300	49.67408
6	90.04	300	49.87115
6	95.04	300	49.14493
6	100.03	300	49.51392
6	105.02	300	50.04317
6	110.03	300	50.06438
6	115.02	300	49.03352
6	120.01	300	49.7242
6	125	300	50.64175
6	130.01	300	50.31898
6	135.01	300	49.91099
6	140	300	50.36611
6	145.01	300	50.2022
6	149.98	300	50.58567
6	154.99	300	49.75367
6	159.98	300	49.59424
6	164.97	300	49.742
6	170	300	49.6627
6	174.99	300	50.33787
6	179.97	300	49.96619
6	185.17	300	50.05442
6	190.15	300	50.2863
6	195.17	300	49.98646
6	200.15	300	50.28207
6	205.15	300	49.40118
6	210.14	300	49.75494
6	215.16	300	50.18671
6	220.13	300	49.60813
6	225.13	300	50.19579
6	230.12	300	49.92836
6	235.12	300	49.47379
6	240.12	300	50.5703
6	245.12	300	49.90934
6	250.11	300	49.89558
6	255.1	300	50.28918
6	260.09	300	49.3532
6	265.1	300	49.98146
6	270.1	300	50.62932
6	275.09	300	49.54232
6	280.08	300	50.64296
6	285.09	300	50.83709
6	290.08	300	50.39294
6	295.08	300	50.08351
6	300.07	300	50.38193
6	305.07	300	50.00619
6	310.06	300	50.23676
6	315.06	300	50.39265
6	320.06	300	50.00684
6	325.06	300	49.06909
6	330.05	300	49.53468
6	335.04	300	50.08752
6	340.05	300	50.20322
6	345.03	300	49.6295
6	350.04	300	49.84058
6	355.04	300	49.73202
6	360.02	300	49.96694
6	365.03	300	50.35647
6	370.03	300	51.13355
6	375.01	300	50.37971
6	380.01	300	49.21403
6	385.02	300	49.74131
6	390	300	49.60822
6	395	300	49.87434
6	400.01	300	50.15931
6	405	300	50.31818
6	409.99	300	50.60176
6	415.01	300	50.3131
6	420.18	300	49.64043
6	424.98	300	49.8136
6	430.16	300	49.86434
6	435.17	300	50.36131
6	440.16	300	50.33328
6	445.16	300	50.0052
6	450.16	300	50.44344
6	455.16	300	51.33467
6	460.15	300	50.88285
6	465.16	300	50.65023
6	470.15	300	50.78271
6	475.14	300	50.96923
6	480.15	300	50.68905
