conc (mg/l)	time	rpm	trans
6	0.66	300	49.05106
6	4.71	300	48.5402
6	9.7	300	48.30401
6	14.71	300	48.33419
6	19.7	300	48.41106
6	24.71	300	48.54165
6	29.7	300	48.65012
6	34.71	300	48.62888
6	39.7	300	48.39273
6	44.71	300	48.66426
6	49.7	300	48.3845
6	54.71	300	48.29165
6	59.7	300	48.15398
6	64.71	300	48.29321
6	69.7	300	48.72305
6	74.71	300	48.25448
6	79.7	300	48.73816
6	84.71	300	48.6105
6	89.71	300	48.31245
6	94.71	300	49.2891
6	99.7	300	49.22317
6	104.71	300	48.41882
6	109.7	300	48.37037
6	114.71	300	48.41705
6	119.7	300	49.20048
6	124.71	300	48.45424
6	129.7	300	48.43963
6	134.71	300	48.54372
6	139.71	300	49.12557
6	144.71	300	48.88339
6	149.7	300	49.00706
6	154.71	300	48.96945
6	159.7	300	49.06407
6	164.72	300	48.47058
6	169.7	300	48.89874
6	174.71	300	48.81971
6	179.7	300	47.94518
6	184.71	300	48.76651
6	189.71	300	48.80169
6	194.71	300	48.02501
6	199.72	300	49.36734
6	204.71	300	49.36882
6	209.72	300	49.03992
6	214.72	300	48.212
6	219.72	300	48.65776
6	224.71	300	48.6689
6	229.72	300	48.50087
6	234.71	300	48.3909
6	239.73	300	48.29033
6	244.71	300	48.14099
6	249.72	300	48.83584
6	254.71	300	48.74021
6	259.72	300	48.85312
6	264.71	300	49.05394
6	269.72	300	49.25906
6	274.71	300	48.90749
6	279.72	300	48.40607
6	284.71	300	48.7497
6	289.73	300	48.75589
6	294.72	300	48.6304
6	299.72	300	48.78216
6	304.72	300	48.458
6	309.72	300	48.7114
6	314.72	300	49.38255
6	319.72	300	49.09876
6	324.72	300	49.29365
6	329.72	300	49.11104
6	334.72	300	49.07217
6	339.73	300	48.79484
6	344.72	300	48.78408
6	349.72	300	49.09271
6	354.72	300	48.42709
6	359.72	300	48.72781
6	364.72	300	48.65527
6	369.73	300	48.73729
6	374.72	300	49.05931
6	379.73	300	48.64577
6	384.72	300	49.02052
6	389.73	300	48.95526
6	394.72	300	48.22112
6	399.73	300	48.42499
6	404.73	300	48.52695
6	409.73	300	48.41457
6	414.74	300	48.48976
6	419.73	300	48.73646
6	424.74	300	49.05392
6	429.73	300	48.77905
6	434.74	300	48.74429
6	439.73	300	49.15772
6	444.74	300	48.67642
6	449.73	300	48.75782
6	454.74	300	49.18411
6	459.73	300	48.68811
6	464.74	300	48.57828
6	469.73	300	48.87165
6	474.74	300	48.70636
6	479.73	300	48.93672
6	484.74	300	48.13287
6	489.74	300	49.14286
6	494.74	300	49.16883
6	499.73	300	48.87352
6	504.74	300	49.32326
6	509.73	300	49.41483
6	514.74	300	49.35032
6	519.73	300	49.02664
6	524.74	300	48.73185
6	529.73	300	49.01794
6	534.74	300	49.00589
6	539.73	300	48.83744
6	544.74	300	49.06121
6	549.73	300	49.28539
6	554.74	300	49.01253
6	559.73	300	49.45959
6	564.75	300	49.06128
6	569.73	300	49.21213
6	574.74	300	49.30814
6	579.73	300	48.9756
6	584.74	300	49.34611
6	589.73	300	48.38494
6	594.74	300	48.68344
6	599.73	300	49.08042
6	604.74	300	49.56668
6	609.75	300	49.52932
6	614.74	300	49.71792
6	619.75	300	48.90604
6	624.74	300	48.74318
6	629.75	300	48.87714
6	634.74	300	48.89352
6	639.76	300	49.04781
6	644.74	300	49.25265
6	649.75	300	49.37834
6	654.74	300	49.4856
6	659.75	300	48.95606
6	664.75	300	49.12546
6	669.75	300	49.05095
6	674.74	300	48.42958
6	679.75	300	48.79358
6	684.74	300	49.07647
6	689.76	300	48.83094
6	694.74	300	48.90207
6	699.75	300	49.33842
6	704.74	300	49.18367
6	709.75	300	48.9544
6	714.75	300	48.91844
6	719.75	300	49.22442
6	724.75	300	49.26459
6	729.75	300	49.31158
6	734.75	300	49.38036
6	739.75	300	49.28745
6	744.75	300	49.6193
6	749.75	300	49.81726
6	754.75	300	49.16908
6	759.75	300	48.96307
6	764.75	300	48.37426
6	769.75	300	48.73859
6	774.75	300	48.98341
6	779.75	300	49.19634
6	784.75	300	49.21274
6	789.76	300	49.4503
6	794.75	300	49.67387
6	799.76	300	49.72781
6	804.75	300	49.73718
6	809.76	300	49.81259
6	814.77	300	50.02003
6	819.76	300	50.11305
6	824.76	300	49.94516
6	829.76	300	49.82962
6	834.76	300	49.89563
6	839.76	300	49.92446
6	844.76	300	48.81359
6	849.76	300	49.10316
6	854.77	300	48.96453
6	859.76	300	48.92283
6	864.77	300	49.10645
6	869.76	300	48.94229
6	874.77	300	48.3895
6	879.76	300	48.37951
6	884.77	300	49.15464
6	889.76	300	49.76301
6	894.77	300	50.00346
6	899.76	300	49.95507
6	904.77	300	49.93408
6	909.76	300	50.20899
6	914.77	300	49.17222
6	919.76	300	49.37146
6	924.77	300	49.47668
6	929.76	300	49.76657
6	934.77	300	49.49627
6	939.77	300	49.31643
6	944.77	300	49.14329
6	949.76	300	49.55133
6	954.77	300	49.68539
6	959.76	300	49.93082
6	964.77	300	49.9998
6	969.76	300	49.61667
6	974.77	300	49.54762
6	979.76	300	49.64411
6	984.77	300	49.40438
6	989.77	300	49.70726
6	994.77	300	49.50905
6	999.76	300	49.45451
6	1004.77	300	49.014
6	1009.76	300	49.20642
6	1014.77	300	49.51886
6	1019.78	300	49.65657
6	1024.77	300	49.70669
6	1029.78	300	49.52456
6	1034.77	300	48.99992
6	1039.78	300	49.38863
6	1044.77	300	49.54207
6	1049.78	300	49.65517
6	1054.77	300	50.4496
6	1059.78	300	49.47903
6	1064.78	300	49.86453
6	1069.78	300	50.00477
6	1074.77	300	50.23788
6	1079.78	300	49.90641
6	1084.77	300	49.89111
6	1089.78	300	49.99205
6	1094.77	300	49.4995
6	1099.78	300	49.70866
6	1104.77	300	49.71521
6	1109.78	300	49.74841
6	1114.78	300	49.57025
6	1119.78	300	48.80376
6	1124.77	300	48.68598
6	1129.78	300	48.78198
6	1134.77	300	48.99533
6	1139.79	300	49.32273
6	1144.77	300	48.78879
6	1149.78	300	48.79477
6	1154.78	300	48.64746
6	1159.78	300	48.77536
6	1164.78	300	48.98138
6	1169.78	300	49.0371
6	1174.78	300	49.20528
6	1179.78	300	49.45119
6	1184.78	300	49.00516
6	1189.79	300	49.06159
6	1194.78	300	48.87296
6	1199.78	300	48.26998
6	1204.78	300	48.02362
6	1209.78	300	48.92002
6	1214.78	300	49.172
6	1219.79	300	48.82834
6	1224.79	300	49.07795
6	1229.79	300	49.58235
6	1234.79	300	49.33711
6	1239.79	300	48.1016
6	1244.79	300	49.22619
6	1249.79	300	50.60688
6	1254.79	300	48.62984
6	1259.79	300	47.85296
6	1264.8	300	48.93098
6	1269.79	300	49.87763
6	1274.79	300	49.74493
6	1279.79	300	49.72332
6	1284.8	300	49.48944
6	1289.79	300	50.56012
6	1294.8	300	50.45024
6	1299.79	300	49.74332
6	1304.8	300	49.89808
6	1309.79	300	50.16576
6	1314.8	300	49.71967
6	1319.79	300	48.97443
6	1324.8	300	48.12656
6	1329.79	300	49.52237
6	1334.8	300	50.54752
6	1339.8	300	49.58572
6	1344.8	300	49.31672
6	1349.79	300	49.60839
6	1354.8	300	48.93452
6	1359.79	300	49.17533
6	1364.8	300	49.32093
6	1369.79	300	49.54687
6	1374.8	300	50.98967
6	1379.79	300	50.58427
6	1384.8	300	49.72105
6	1389.8	300	50.86227
6	1394.8	300	50.67525
6	1399.79	300	50.78082
6	1404.8	300	50.2158
6	1409.79	300	50.48946
6	1414.81	300	50.1521
6	1419.79	300	50.34064
6	1424.8	300	50.29458
6	1429.81	300	49.38194
6	1434.8	300	49.50468
6	1439.81	300	49.70376
6	1444.8	300	49.99599
6	1449.81	300	49.12329
6	1454.8	300	48.9906
6	1459.81	300	47.75702
6	1464.81	300	48.616
6	1469.81	300	49.68475
6	1474.8	300	49.93155
6	1479.81	300	49.99128
6	1484.8	300	49.47376
6	1489.82	300	49.38482
6	1494.8	300	48.87518
6	1499.81	300	48.86934
6	1504.8	300	48.92961
6	1509.81	300	49.91436
6	1514.81	300	49.39289
6	1519.81	300	49.29531
6	1524.8	300	48.89984
6	1529.81	300	49.43827
6	1534.8	300	49.42257
6	1539.82	300	50.5836
6	1544.8	300	49.59113
6	1549.81	300	50.11137
6	1554.8	300	48.9875
6	1559.81	300	48.95226
6	1564.81	300	49.54881
6	1569.81	300	51.74581
6	1574.81	300	49.9979
6	1579.81	300	48.99058
6	1584.81	300	50.50742
6	1589.81	300	51.46141
6	1594.81	300	51.16043
6	1599.81	300	50.40361
6	1604.81	300	50.28571
6	1609.81	300	51.57094
6	1614.81	300	50.75953
6	1619.81	300	51.94523
6	1624.81	300	51.85752
6	1629.81	300	51.10244
6	1634.82	300	50.91278
6	1639.82	300	50.77914
6	1644.82	300	49.67833
6	1649.82	300	49.68817
6	1654.82	300	48.54198
6	1659.82	300	48.69798
6	1664.83	300	49.69449
6	1669.82	300	51.38489
6	1674.82	300	50.90411
6	1679.82	300	50.93547
6	1684.82	300	51.21378
6	1689.82	300	50.78324
6	1694.82	300	50.10583
6	1699.82	300	50.82318
6	1704.83	300	50.87878
6	1709.82	300	51.79276
6	1714.83	300	51.3054
6	1719.82	300	49.7896
6	1724.83	300	50.13288
6	1729.82	300	49.75916
6	1734.83	300	48.57533
6	1739.82	300	48.11057
6	1744.83	300	48.94757
6	1749.82	300	49.38176
6	1754.83	300	49.76422
6	1759.82	300	50.06349
6	1764.83	300	50.2476
6	1769.82	300	50.97019
6	1774.83	300	51.42925
6	1779.82	300	51.82597
