conc (mg/l)	time	rpm	trans
5	0.6	900	81.56756
5	4.65	900	82.76208
5	9.66	900	82.45144
5	14.65	900	82.99199
5	19.66	900	82.43837
5	24.65	900	83.22195
5	29.66	900	83.49355
5	34.65	900	83.46316
5	39.66	900	83.00655
5	44.65	900	83.17522
5	49.66	900	83.05431
5	54.65	900	83.45406
5	59.66	900	83.52621
5	64.65	900	83.37701
5	69.66	900	83.7112
5	74.65	900	84.03325
5	79.66	900	84.4835
5	84.65	900	84.21844
5	89.66	900	84.10397
5	94.66	900	84.69193
5	99.66	900	84.22823
5	104.66	900	84.13995
5	109.66	900	84.54969
5	114.66	900	84.1555
5	119.66	900	84.63167
5	124.67	900	84.78025
5	129.66	900	84.82536
5	134.67	900	85.28625
5	139.66	900	85.23685
5	144.67	900	85.52705
5	149.66	900	85.62766
5	154.67	900	85.05845
5	159.67	900	84.80824
5	164.67	900	84.7058
5	169.67	900	84.8113
5	174.67	900	84.97837
5	179.67	900	84.90331
5	184.67	900	84.71671
5	189.67	900	85.14914
5	194.67	900	85.75598
5	199.67	900	85.37638
5	204.67	900	86.1094
5	209.67	900	85.56693
5	214.68	900	85.33089
5	219.67	900	85.63068
5	224.68	900	85.74254
5	229.67	900	85.35742
5	234.68	900	85.76996
5	239.67	900	85.97356
5	244.68	900	86.04068
5	249.67	900	85.65063
5	254.68	900	86.15936
5	259.67	900	86.44286
5	264.68	900	86.89346
5	269.67	900	86.62596
5	274.68	900	86.87061
5	279.67	900	86.97337
5	284.68	900	87.09336
5	289.67	900	87.28352
5	294.68	900	87.78553
5	299.67	900	87.79808
5	304.68	900	87.60019
5	309.67	900	88.27834
5	314.68	900	87.91552
5	319.67	900	87.82918
5	324.68	900	87.97981
5	329.69	900	87.90122
5	334.68	900	88.61813
5	339.69	900	88.47073
5	344.68	900	88.60381
5	349.69	900	88.30678
5	354.68	900	88.28078
5	359.69	900	88.62132
5	364.68	900	88.54561
5	369.69	900	88.87493
5	374.68	900	88.91376
5	379.69	900	89.13982
5	384.68	900	88.64626
5	389.69	900	88.81163
5	394.68	900	88.97115
5	399.69	900	88.95044
5	404.68	900	89.15495
5	409.69	900	89.23328
5	414.68	900	88.87939
5	419.69	900	88.98793
5	424.68	900	89.12015
5	429.69	900	88.80697
5	434.69	900	88.93616
5	439.69	900	88.83279
5	444.69	900	88.9156
5	449.69	900	88.66365
5	454.69	900	89.07336
5	459.69	900	88.98202
5	464.69	900	88.92545
5	469.69	900	88.94868
5	474.7	900	88.82611
5	479.69	900	88.88531
5	484.7	900	88.69683
5	489.69	900	88.75981
5	494.7	900	89.06741
5	499.69	900	88.79743
5	504.7	900	89.07877
5	509.69	900	88.52161
5	514.7	900	88.72474
5	519.69	900	88.71081
5	524.7	900	88.50985
5	529.69	900	88.70151
5	534.7	900	88.73076
5	539.69	900	88.62573
5	544.7	900	88.67451
5	549.69	900	88.73428
5	554.7	900	88.58164
5	559.69	900	88.67093
5	564.7	900	88.84083
5	569.69	900	88.93575
5	574.7	900	89.00893
5	579.69	900	88.9155
5	584.7	900	88.81728
5	589.69	900	89.02605
5	594.7	900	89.18719
5	599.69	900	89.25799
5	604.7	900	89.30396
5	609.69	900	89.07768
5	614.7	900	89.15709
5	619.69	900	89.10086
5	624.7	900	89.05638
5	629.71	900	89.35029
5	634.7	900	89.28103
5	639.71	900	89.19683
5	644.7	900	89.13185
5	649.71	900	89.02182
5	654.7	900	89.2035
5	659.71	900	89.29079
5	664.71	900	89.08949
5	669.71	900	89.12543
5	674.7	900	89.40268
5	679.71	900	89.55643
5	684.7	900	89.60715
5	689.71	900	89.52324
5	694.7	900	89.32193
5	699.71	900	89.42638
5	704.7	900	89.5208
5	709.71	900	89.53815
5	714.7	900	89.29987
5	719.71	900	89.22427
5	724.7	900	89.47279
5	729.71	900	89.28955
5	734.7	900	89.4783
5	739.71	900	89.42933
5	744.7	900	89.51576
5	749.71	900	89.61101
5	754.7	900	89.36573
5	759.71	900	89.40833
5	764.7	900	89.75311
5	769.71	900	89.75684
5	774.71	900	89.45911
5	779.71	900	89.64375
5	784.71	900	89.61789
5	789.71	900	89.65265
5	794.71	900	89.73884
5	799.71	900	89.91193
5	804.71	900	89.82564
5	809.71	900	89.95901
5	814.71	900	90.09936
5	819.71	900	90.09198
5	824.72	900	89.85938
5	829.71	900	89.76243
5	834.72	900	89.80634
5	839.72	900	89.91827
5	844.72	900	89.93895
5	849.72	900	89.98591
5	854.72	900	89.96515
5	859.72	900	90.05335
5	864.72	900	89.98462
5	869.72	900	90.07977
5	874.72	900	90.15436
5	879.72	900	90.14296
5	884.72	900	90.20251
5	889.72	900	90.13434
5	894.72	900	90.0884
5	899.72	900	89.59793
5	904.73	900	89.90079
5	909.72	900	89.60648
5	914.73	900	89.57735
5	919.72	900	89.5364
5	924.73	900	89.75651
5	929.72	900	89.8932
5	934.73	900	89.86825
5	939.72	900	90.00262
5	944.73	900	90.06861
5	949.72	900	89.68892
5	954.73	900	90.23705
5	959.72	900	89.84471
5	964.73	900	89.80295
5	969.72	900	89.87481
5	974.73	900	89.8376
5	979.72	900	89.67001
5	984.73	900	89.76578
5	989.72	900	89.96607
5	994.73	900	90.07967
5	999.72	900	90.02005
5	1004.73	900	90.4006
5	1009.72	900	90.08108
5	1014.73	900	90.10959
5	1019.72	900	90.24715
5	1024.73	900	90.12321
5	1029.74	900	90.15427
5	1034.73	900	90.26981
5	1039.74	900	90.17776
5	1044.73	900	90.26826
5	1049.74	900	90.28102
5	1054.73	900	90.29821
5	1059.74	900	90.34792
5	1064.73	900	90.23271
5	1069.74	900	90.3744
5	1074.73	900	90.14741
5	1079.74	900	90.2421
5	1084.73	900	90.24594
5	1089.74	900	90.46477
5	1094.73	900	89.97054
5	1099.74	900	89.9983
5	1104.73	900	90.11398
5	1109.74	900	90.05466
5	1114.73	900	90.27602
5	1119.74	900	90.00556
5	1124.73	900	89.78829
5	1129.74	900	89.83496
5	1134.73	900	90.11304
5	1139.74	900	89.72887
5	1144.73	900	90.04378
5	1149.74	900	89.91367
5	1154.73	900	89.80644
5	1159.74	900	90.04427
5	1164.73	900	90.21393
5	1169.74	900	90.08077
5	1174.73	900	90.16511
5	1179.74	900	90.06255
5	1184.73	900	90.11936
5	1189.74	900	90.20261
5	1194.74	900	90.16956
5	1199.74	900	90.37398
5	1204.74	900	90.01725
5	1209.74	900	90.15978
5	1214.74	900	90.12263
5	1219.74	900	90.05461
5	1224.74	900	89.97689
5	1229.74	900	90.16688
5	1234.75	900	90.01047
5	1239.74	900	89.93483
5	1244.75	900	90.37936
5	1249.74	900	90.2018
5	1254.75	900	89.99918
5	1259.75	900	89.95874
5	1264.75	900	89.94482
5	1269.75	900	89.8362
5	1274.75	900	90.08882
5	1279.75	900	90.02185
5	1284.75	900	89.92868
5	1289.75	900	90.02632
5	1294.75	900	90.24757
5	1299.75	900	90.11121
5	1304.75	900	90.25542
5	1309.75	900	90.37316
5	1314.75	900	90.43217
5	1319.75	900	90.21719
5	1324.76	900	90.1843
5	1329.75	900	90.23746
5	1334.76	900	90.38085
5	1339.75	900	90.25605
5	1344.76	900	90.56719
5	1349.75	900	90.52396
5	1354.76	900	90.30547
5	1359.75	900	90.56284
5	1364.76	900	90.2282
5	1369.75	900	90.19534
5	1374.76	900	90.37923
5	1379.75	900	90.24956
5	1384.76	900	90.40369
5	1389.75	900	90.27424
5	1394.76	900	90.0051
5	1399.75	900	90.38731
5	1404.76	900	90.34723
5	1409.75	900	90.32294
5	1414.76	900	90.59154
5	1419.75	900	90.70069
5	1424.76	900	90.57966
5	1429.75	900	90.49784
5	1434.76	900	90.43304
5	1439.77	900	90.44557
5	1444.76	900	90.47025
5	1449.77	900	90.51553
5	1454.76	900	90.61018
5	1459.77	900	90.45354
5	1464.76	900	90.38649
5	1469.77	900	90.74406
5	1474.76	900	90.38523
5	1479.77	900	90.59522
5	1484.76	900	90.47365
5	1489.77	900	90.60633
5	1494.76	900	90.30573
5	1499.77	900	89.92094
5	1504.76	900	90.22855
5	1509.77	900	90.389
5	1514.76	900	90.41495
5	1519.77	900	90.15646
5	1524.76	900	90.39061
5	1529.77	900	90.42458
5	1534.76	900	90.49004
5	1539.77	900	90.49477
5	1544.76	900	90.45899
5	1549.77	900	90.48801
5	1554.76	900	90.45841
5	1559.77	900	90.42376
5	1564.76	900	90.36255
5	1569.77	900	90.3864
5	1574.76	900	90.57209
5	1579.77	900	90.49828
5	1584.76	900	90.60443
5	1589.78	900	90.51189
5	1594.76	900	90.51765
